Class,Division,Subject Name
Nursery,A,"ENGLISH,HINDI,MARATHI,SCIENCE,SOCIAL STUDIES,MATHS,GK,DRAWING,GEOGRAPHY,ECONOMIC,SUPW,VALUE,PHYSICAL_TRAINER,COMPUTER, EDUCATION,HANDWRITING,COMPUTER,PHYSICAL_TRAINER,MUSIC,SUPW,DRAWING TRAINER.MUSIC,COMPUTER"
Jr.KG,A,"ENGLISH,HINDI,MARATHI,SCIENCE,SOCIAL STUDIES,MATHS,GK,DRAWING,GEOGRAPHY,ECONOMIC,SUPW,VALUE,PHYSICAL_TRAINER,COMPUTER, EDUCATION,HANDWRITING,COMPUTER,PHYSICAL_TRAINER,MUSIC,SUPW,DRAWING TRAINER.MUSIC,COMPUTER"
Sr.KG,A,"ENGLISH,HINDI,MARATHI,SCIENCE,SOCIAL STUDIES,MATHS,GK,DRAWING,GEOGRAPHY,ECONOMIC,SUPW,VALUE,PHYSICAL_TRAINER,COMPUTER, EDUCATION,HANDWRITING,COMPUTER,PHYSICAL_TRAINER,MUSIC,SUPW,DRAWING TRAINER.MUSIC,COMPUTER"
I,A,"ENGLISH,HINDI,MARATHI,SCIENCE,SOCIAL STUDIES,MATHS,GK,DRAWING,GEOGRAPHY,ECONOMIC,SUPW,VALUE,PHYSICAL_TRAINER,COMPUTER, EDUCATION,HANDWRITING,COMPUTER,PHYSICAL_TRAINER,MUSIC,SUPW,DRAWING TRAINER.MUSIC,COMPUTER"
II,A,"ENGLISH,HINDI,MARATHI,SCIENCE,SOCIAL STUDIES,MATHS,GK,DRAWING,GEOGRAPHY,ECONOMIC,SUPW,VALUE,PHYSICAL_TRAINER,COMPUTER, EDUCATION,HANDWRITING,COMPUTER,PHYSICAL_TRAINER,MUSIC,SUPW,DRAWING TRAINER.MUSIC,COMPUTER"
III,A,"ENGLISH,HINDI,MARATHI,SCIENCE,SOCIAL STUDIES,MATHS,GK,DRAWING,GEOGRAPHY,ECONOMIC,SUPW,VALUE,PHYSICAL_TRAINER,COMPUTER, EDUCATION,HANDWRITING,COMPUTER,PHYSICAL_TRAINER,MUSIC,SUPW,DRAWING TRAINER.MUSIC,COMPUTER"
IV,A,"ENGLISH,HINDI,MARATHI,SCIENCE,SOCIAL STUDIES,MATHS,GK,DRAWING,GEOGRAPHY,ECONOMIC,SUPW,VALUE,PHYSICAL_TRAINER,COMPUTER, EDUCATION,HANDWRITING,COMPUTER,PHYSICAL_TRAINER,MUSIC,SUPW,DRAWING TRAINER.MUSIC,COMPUTER"
V,A,"ENGLISH,HINDI,MARATHI,SCIENCE,SOCIAL STUDIES,MATHS,GK,DRAWING,GEOGRAPHY,ECONOMIC,SUPW,VALUE,PHYSICAL_TRAINER,COMPUTER, EDUCATION,HANDWRITING,COMPUTER,PHYSICAL_TRAINER,MUSIC,SUPW,DRAWING TRAINER.MUSIC,COMPUTER"
VI,A,"ENGLISH,HINDI,MARATHI,SCIENCE,SOCIAL STUDIES,MATHS,GK,DRAWING,GEOGRAPHY,ECONOMIC,SUPW,VALUE,PHYSICAL_TRAINER,COMPUTER, EDUCATION,HANDWRITING,COMPUTER,PHYSICAL_TRAINER,MUSIC,SUPW,DRAWING TRAINER.MUSIC,COMPUTER"
VII,A,"ENGLISH,HINDI,MARATHI,SCIENCE,SOCIAL STUDIES,MATHS,GK,DRAWING,GEOGRAPHY,ECONOMIC,SUPW,VALUE,PHYSICAL_TRAINER,COMPUTER, EDUCATION,HANDWRITING,COMPUTER,PHYSICAL_TRAINER,MUSIC,SUPW,DRAWING TRAINER.MUSIC,COMPUTER"
VIII,A,"ENGLISH,HINDI,MARATHI,SCIENCE,SOCIAL STUDIES,MATHS,GK,DRAWING,GEOGRAPHY,ECONOMIC,SUPW,VALUE,PHYSICAL_TRAINER,COMPUTER, EDUCATION,HANDWRITING,COMPUTER,PHYSICAL_TRAINER,MUSIC,SUPW,DRAWING TRAINER.MUSIC,COMPUTER"
IX,A,"ENGLISH,HINDI,MARATHI,SCIENCE,SOCIAL STUDIES,MATHS,GK,DRAWING,GEOGRAPHY,ECONOMIC,SUPW,VALUE,PHYSICAL_TRAINER,COMPUTER, EDUCATION,HANDWRITING,COMPUTER,PHYSICAL_TRAINER,MUSIC,SUPW,DRAWING TRAINER.MUSIC,COMPUTER"
X,A,"ENGLISH,HINDI,MARATHI,SCIENCE,SOCIAL STUDIES,MATHS,GK,DRAWING,GEOGRAPHY,ECONOMIC,SUPW,VALUE,PHYSICAL_TRAINER,COMPUTER, EDUCATION,HANDWRITING,COMPUTER,PHYSICAL_TRAINER,MUSIC,SUPW,DRAWING TRAINER.MUSIC,COMPUTER"
